knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,2000,0.1,0,3,256,5,256,100,387.09210432099644,280.7036133760121,65.17233057803242,46.43665199301904,17.671301388996653,0.9992,1.00003724,230.20699243,0.00434392
1,2000,0.1,0,3,256,5,256,250,387.09210432099644,280.7036133760121,69.30938754300587,50.040485036035534,17.73810392501764,0.9998,1.00000695,212.11727601,0.00471437
1,2000,0.1,0,3,256,10,256,2,604.5433434880106,544.0024419139954,32.755301786004566,14.34236582898302,17.43847501295386,0.4711,1.05980547,914.94882263,0.00109296
1,2000,0.1,0,3,256,10,256,20,604.5433434880106,544.0024419139954,60.4371611130191,41.22085715999128,18.400038231979124,0.9585,1.0025245,262.49466061,0.0038096
1,2000,0.1,0,3,256,10,256,50,604.5433434880106,544.0024419139954,65.45387357001891,46.65990965702804,18.9670087940176,0.995,1.00026928,228.63806845,0.00437372
1,2000,0.1,0,3,256,10,256,100,604.5433434880106,544.0024419139954,66.9188557669986,48.19180369499372,19.31688416900579,0.9994,1.00003738,222.99769937,0.00448435
1,2000,0.1,0,3,256,10,256,250,604.5433434880106,544.0024419139954,72.61374553100904,53.76154746901011,18.474064005014952,1.0,1.0,198.90617056,0.0050275
1,2000,0.1,0,3,256,3,1024,2,276.31748576497193,162.61009964795085,29.004777398018632,11.924503758025821,16.876333038962912,0.2445,1.12795162,1121.80641102,0.00089142
1,2000,0.1,0,3,256,3,1024,20,276.31748576497193,162.61009964795085,48.67115155601641,30.12917860702146,17.560020678967703,0.7281,1.02580289,369.1753317,0.00270874
1,2000,0.1,0,3,256,3,1024,50,276.31748576497193,162.61009964795085,55.60562193999067,38.31245312298415,16.97540759498952,0.9041,1.00766294,282.91447341,0.00353464
1,2000,0.1,0,3,256,3,1024,100,276.31748576497193,162.61009964795085,62.51111669198144,43.156569891027175,17.486214760981966,0.9771,1.00170123,248.35866396,0.00402643
1,2000,0.1,0,3,256,3,1024,250,276.31748576497193,162.61009964795085,65.599828076025,50.02646427199943,17.1878219859791,0.9996,1.00001843,211.51016274,0.00472791
1,2000,0.1,0,3,256,3,2048,2,336.81248377397424,198.25936800503405,30.20528358500451,12.18501399597153,18.285293371009175,0.2,1.15453626,1088.22389904,0.00091893
1,2000,0.1,0,3,256,3,2048,20,336.81248377397424,198.25936800503405,49.20715634699445,32.22685057297349,18.563706716988236,0.6291,1.03787468,344.05273374,0.00290653
1,2000,0.1,0,3,256,3,2048,50,336.81248377397424,198.25936800503405,57.16040536900982,40.89053049701033,17.117769368982408,0.8373,1.01347444,264.40011333,0.00378215
1,2000,0.1,0,3,256,3,2048,100,336.81248377397424,198.25936800503405,63.543917785049416,44.45594939898001,17.393304397002794,0.9357,1.00492376,242.15408788,0.0041296
1,2000,0.1,0,3,256,3,2048,250,336.81248377397424,198.25936800503405,70.53105523902923,50.72398245497607,19.40537327103084,0.9908,1.00057221,210.44098266,0.00475193
1,2000,0.1,0,3,256,3,4096,2,336.9958629400353,216.00930331798736,30.15203677903628,11.43633835396031,19.865624395024497,0.1315,1.19588779,1197.56571246,0.00083503
1,2000,0.1,0,3,256,3,4096,20,336.9958629400353,216.00930331798736,43.66123995202361,25.617209067975637,18.250555331993382,0.4812,1.06178298,442.11078982,0.00226188
1,2000,0.1,0,3,256,3,4096,50,336.9958629400353,216.00930331798736,52.112377659999765,32.9736894450034,18.080256124027073,0.6833,1.030692,331.61049353,0.00301559
1,2000,0.1,0,3,256,3,4096,100,336.9958629400353,216.00930331798736,60.256840448011644,42.14823781402083,18.682631471019704,0.8243,1.01535168,255.04401729,0.00392089
1,2000,0.1,0,3,256,3,4096,250,336.9958629400353,216.00930331798736,66.21213195798919,54.093782312993426,17.676507733005565,0.957,1.00352462,196.05510723,0.00510061
